text,user,location,followers
#wonderwoman1984 #ccxp2019 @ São Paulo Expo https://t.co/RlpgDQobGp,Fabio_Targaryen,"Sao Paulo, Brazil",132
"Marcos Mion na #CCXP2019 kkkkk Em respeito ao Tefo, deixamos eles curtirem em paz  @marcosmion . O amamos (eu e meu… https://t.co/7Hyr1Dze8G",dicasdadila,São Paulo - SP,1340
"Nos preparando pro impreparável trailer de #wonderwoman1984 
#ccxp2019 @ São Paulo Expo https://t.co/X83DoeuULt",Fabio_Targaryen,"Sao Paulo, Brazil",132
Olha só o carteiro na @CCXPoficial #CCXP2019 #CCXP19 @samirpalma @andirobadf @Gabriel_Chacon https://t.co/Bxpn9jH5Zw,reuberdiirr,"São Paulo, Brasil",3225
#wonderfriends #ccxp2019 @ São Paulo Expo https://t.co/Y69iLLIkEB,Fabio_Targaryen,"Sao Paulo, Brazil",132
"A mulher mais incrível do mundo #galgadot 
Quase faleci no trailer de #wonderwoman1984 
#ccxp2019 @ São Paulo Expo https://t.co/VHiu7HUMtO",Fabio_Targaryen,"Sao Paulo, Brazil",132
"A mano, só queria ter ido na #CCXP2019",fehsf_ofc,"São Paulo, Brasil",36
"GAL GADOT É O ANJO SEM ASAS VCS NÃO TEM NOÇÃOOOOO PUTAMERDA ❣
#CCXP2019 #WW84 https://t.co/BFvCIS2rFJ",astrangerwizard,∞ 19.01.2019 ∞,2018
2020 as mulheres dominarão o cinema :)  #CCXP2019,wtfyoung,Star City,959
"#CCXP2019 Professora Gravatá, libera as notas de processo do trabalho!!! Estou na ccxp ansioso por esta nota.",lamorim94l,"Rio de Janeiro, Brasil",18
